#                               L = 75
#================================================================
#x               y               Numerical       Analytical      
#================================================================
0.0533333       0.88            0.0813453       0.0813498       
0.0533333       0.893333        0.0840508       0.084055        
0.0533333       0.906667        0.0867932       0.0867971       
0.0533333       0.92            0.0895686       0.0895721       
0.0533333       0.933333        0.092373        0.092376        
0.0533333       0.946667        0.0952018       0.0952042       
0.0533333       0.96            0.0980504       0.0980523       
0.0533333       0.973333        0.100914        0.100915        
0.0533333       0.986667        0.103788        0.103788        
0.0533333       1               0.106667        0.106658        
0.0666667       0               0               0               
0.0666667       0.0133333       0.000610497     0.00061036      
0.0666667       0.0266667       0.00122205      0.00122178      
0.0666667       0.04            0.00183572      0.00183531      
0.0666667       0.0533333       0.00245255      0.00245201      
0.0666667       0.0666667       0.00307363      0.00307296      
0.0666667       0.08            0.00370003      0.00369921      
0.0666667       0.0933333       0.00433281      0.00433186      
0.0666667       0.106667        0.00497307      0.00497199      
0.0666667       0.12            0.00562192      0.00562071      
0.0666667       0.133333        0.00628046      0.00627913      
0.0666667       0.146667        0.00694983      0.00694837      
0.0666667       0.16            0.00763116      0.00762958      
0.0666667       0.173333        0.00832563      0.00832392      
0.0666667       0.186667        0.0090344       0.00903258      
0.0666667       0.2             0.00975869      0.00975676      
0.0666667       0.213333        0.0104997       0.0104977       
0.0666667       0.226667        0.0112587       0.0112566       
0.0666667       0.24            0.012037        0.0120347       
0.0666667       0.253333        0.0128358       0.0128334       
0.0666667       0.266667        0.0136565       0.013654        
0.0666667       0.28            0.0145004       0.0144979       
0.0666667       0.293333        0.0153689       0.0153663       
0.0666667       0.306667        0.0162635       0.0162608       
0.0666667       0.32            0.0171855       0.0171828       
0.0666667       0.333333        0.0181365       0.0181337       
0.0666667       0.346667        0.0191179       0.0191151       
0.0666667       0.36            0.0201313       0.0201285       
0.0666667       0.373333        0.0211784       0.0211755       
0.0666667       0.386667        0.0222606       0.0222577       
0.0666667       0.4             0.0233796       0.0233767       
0.0666667       0.413333        0.0245371       0.0245342       
0.0666667       0.426667        0.0257348       0.025732        
0.0666667       0.44            0.0269745       0.0269717       
0.0666667       0.453333        0.0282578       0.0282551       
0.0666667       0.466667        0.0295866       0.029584        
0.0666667       0.48            0.0309627       0.0309602       
0.0666667       0.493333        0.0323879       0.0323855       
0.0666667       0.506667        0.033864        0.0338618       
0.0666667       0.52            0.0353929       0.0353909       
0.0666667       0.533333        0.0369763       0.0369746       
0.0666667       0.546667        0.0386163       0.0386147       
0.0666667       0.56            0.0403144       0.0403131       
0.0666667       0.573333        0.0420727       0.0420717       
0.0666667       0.586667        0.0438927       0.043892        
0.0666667       0.6             0.0457763       0.0457759       
0.0666667       0.613333        0.047725        0.047725        
0.0666667       0.626667        0.0497405       0.0497408       
0.0666667       0.64            0.0518242       0.0518249       
0.0666667       0.653333        0.0539775       0.0539787       
0.0666667       0.666667        0.0562017       0.0562033       
0.0666667       0.68            0.0584978       0.0584999       
0.0666667       0.693333        0.0608668       0.0608693       
0.0666667       0.706667        0.0633095       0.0633124       
0.0666667       0.72            0.0658263       0.0658297       
0.0666667       0.733333        0.0684176       0.0684214       
0.0666667       0.746667        0.0710833       0.0710876       
0.0666667       0.76            0.0738232       0.0738279       
0.0666667       0.773333        0.0766368       0.0766418       
0.0666667       0.786667        0.0795231       0.0795284       
0.0666667       0.8             0.0824807       0.0824864       
0.0666667       0.813333        0.0855082       0.085514        
0.0666667       0.826667        0.0886034       0.0886094       
0.0666667       0.84            0.0917639       0.0917699       
0.0666667       0.853333        0.0949867       0.0949927       
0.0666667       0.866667        0.0982687       0.0982745       
0.0666667       0.88            0.101606        0.101612        
0.0666667       0.893333        0.104995        0.105           
0.0666667       0.906667        0.10843         0.108435        
0.0666667       0.92            0.111907        0.111911        
0.0666667       0.933333        0.115421        0.115424        
0.0666667       0.946667        0.118965        0.118968        
0.0666667       0.96            0.122535        0.122537        
0.0666667       0.973333        0.126124        0.126125        
0.0666667       0.986667        0.129725        0.129726        
0.0666667       1               0.133333        0.133342        
0.08            0               0               0               
0.08            0.0133333       0.000730269     0.000730105     
0.08            0.0266667       0.0014618       0.00146147      
0.08            0.04            0.00219586      0.00219537      
0.08            0.0533333       0.00293372      0.00293307      
0.08            0.0666667       0.00367665      0.00367584      
0.08            0.08            0.00442594      0.00442497      
0.08            0.0933333       0.00518288      0.00518175      
0.08            0.106667        0.00594877      0.00594748      
0.08            0.12            0.00672493      0.00672349      
0.08            0.133333        0.0075127       0.0075111       
0.08            0.146667        0.00831341      0.00831166      
0.08            0.16            0.00912846      0.00912656      
0.08            0.173333        0.00995921      0.00995717      
0.08            0.186667        0.0108071       0.0108049       
0.08            0.2             0.0116735       0.0116712       
0.08            0.213333        0.01256         0.0125576       
0.08            0.226667        0.013468        0.0134655       
0.08            0.24            0.0143991       0.0143964       
0.08            0.253333        0.0153547       0.0153519       
0.08            0.266667        0.0163366       0.0163337       
0.08            0.28            0.0173462       0.0173432       
0.08            0.293333        0.0183854       0.0183823       
0.08            0.306667        0.0194557       0.0194525       
0.08            0.32            0.0205588       0.0205556       
0.08            0.333333        0.0216967       0.0216933       
0.08            0.346667        0.022871        0.0228676       
0.08            0.36            0.0240837       0.0240802       
0.08            0.373333        0.0253365       0.0253331       
0.08            0.386667        0.0266316       0.0266281       
0.08            0.4             0.0279707       0.0279673       
0.08            0.413333        0.029356        0.0293526       
0.08            0.426667        0.0307895       0.0307861       
0.08            0.44            0.0322732       0.0322698       
0.08            0.453333        0.0338093       0.033806        
0.08            0.466667        0.0353999       0.0353967       
0.08            0.48            0.0370472       0.0370442       
0.08            0.493333        0.0387534       0.0387506       
0.08            0.506667        0.0405207       0.040518        
0.08            0.52            0.0423513       0.0423489       
0.08            0.533333        0.0442475       0.0442453       
0.08            0.546667        0.0462114       0.0462095       
0.08            0.56            0.0482453       0.0482437       
0.08            0.573333        0.0503514       0.0503501       
0.08            0.586667        0.0525317       0.0525307       
0.08            0.6             0.0547884       0.0547878       
0.08            0.613333        0.0571234       0.0571233       
0.08            0.626667        0.0595388       0.0595391       
0.08            0.64            0.0620362       0.062037        
0.08            0.653333        0.0646175       0.0646188       
0.08            0.666667        0.0672842       0.067286        
0.08            0.68            0.0700375       0.0700399       
0.08            0.693333        0.0728788       0.0728817       
0.08            0.706667        0.0758089       0.0758123       
0.08            0.72            0.0788285       0.0788325       
0.08            0.733333        0.081938        0.0819426       
0.08            0.746667        0.0851375       0.0851426       
0.08            0.76            0.0884268       0.0884324       
0.08            0.773333        0.0918051       0.0918111       
0.08            0.786667        0.0952715       0.0952779       
0.08            0.8             0.0988244       0.0988311       
0.08            0.813333        0.102462        0.102469        
0.08            0.826667        0.106182        0.106189        
0.08            0.84            0.10998         0.109988        
0.08            0.853333        0.113855        0.113862        
0.08            0.866667        0.117802        0.117809        
0.08            0.88            0.121815        0.121822        
0.08            0.893333        0.125892        0.125898        
0.08            0.906667        0.130025        0.130031        
0.08            0.92            0.134209        0.134214        
0.08            0.933333        0.138437        0.138442        
0.08            0.946667        0.142704        0.142707        
0.08            0.96            0.147           0.147003        
0.08            0.973333        0.151321        0.151323        
0.08            0.986667        0.155656        0.155657        
0.08            1               0.16            0.16            
0.0933333       0               0               0               
0.0933333       0.0133333       0.000848778     0.000848587     
0.0933333       0.0266667       0.00169902      0.00169864      
0.0933333       0.04            0.00255221      0.00255164      
0.0933333       0.0533333       0.00340982      0.00340906      
0.0933333       0.0666667       0.00427332      0.00427237      
0.0933333       0.08            0.00514421      0.00514308      
0.0933333       0.0933333       0.006024        0.00602268      
0.0933333       0.106667        0.0069142       0.0069127       
0.0933333       0.12            0.00781634      0.00781466      
0.0933333       0.133333        0.00873198      0.00873011      
0.0933333       0.146667        0.00966268      0.00966064      
0.0933333       0.16            0.01061         0.0106078       
0.0933333       0.173333        0.0115757       0.0115733       
0.0933333       0.186667        0.0125612       0.0125587       
0.0933333       0.2             0.0135684       0.0135657       
0.0933333       0.213333        0.0145988       0.014596        
0.0933333       0.226667        0.0156543       0.0156513       
0.0933333       0.24            0.0167366       0.0167334       
0.0933333       0.253333        0.0178475       0.0178442       
0.0933333       0.266667        0.0189889       0.0189855       
0.0933333       0.28            0.0201626       0.0201591       
0.0933333       0.293333        0.0213707       0.021367        
0.0933333       0.306667        0.0226149       0.0226112       
0.0933333       0.32            0.0238975       0.0238937       
0.0933333       0.333333        0.0252204       0.0252165       
0.0933333       0.346667        0.0265858       0.0265818       
0.0933333       0.36            0.0279958       0.0279917       
0.0933333       0.373333        0.0294526       0.0294485       
0.0933333       0.386667        0.0309585       0.0309544       
0.0933333       0.4             0.0325157       0.0325117       
0.0933333       0.413333        0.0341267       0.0341227       
0.0933333       0.426667        0.0357938       0.0357898       
0.0933333       0.44            0.0375195       0.0375156       
0.0933333       0.453333        0.0393062       0.0393024       
0.0933333       0.466667        0.0411565       0.0411528       
0.0933333       0.48            0.0430728       0.0430692       
0.0933333       0.493333        0.0450578       0.0450544       
0.0933333       0.506667        0.0471141       0.0471109       
0.0933333       0.52            0.0492442       0.0492413       
0.0933333       0.533333        0.0514509       0.0514482       
